# Displaying trades for selected time interval: All
name,date,quantity,price,state
Steel claws,2026-01-16 07:06 PM,1,396,SOLD
# Total profit: 0

Onyx bolt tips,2026-01-16 07:03 PM,4,8056,SOLD
# Total profit: 0

Bowl,2026-01-16 07:03 PM,13,12,SOLD
# Total profit: 0

Steel med helm,2026-01-16 07:03 PM,3,49,SOLD
# Total profit: 0

Blue cape,2026-01-16 07:03 PM,1,138,SOLD
# Total profit: 0

Green d'hide chaps,2026-01-16 07:03 PM,1,2204,SOLD
# Total profit: 0

Flamtaer bracelet,2026-01-16 07:02 PM,1,778,SOLD
# Total profit: 0

Watson teleport,2026-01-16 07:02 PM,4,4606,SOLD
# Total profit: 0

Loar remains,2026-01-16 07:01 PM,3,156,SOLD
# Total profit: 0

Ensouled bloodveld head,2026-01-16 07:01 PM,2,1020,SOLD
# Total profit: 0

Mithril dart,2026-01-16 06:52 PM,1692,14,SOLD
# Total profit: 0

Ensouled giant head,2026-01-16 06:52 PM,2,245,SOLD
# Total profit: 0

Swordfish,2026-01-16 06:52 PM,943,208,SOLD
# Total profit: 0

Potato cactus,2026-01-16 06:52 PM,1,47,SOLD
# Total profit: 0

Pie dish,2026-01-16 06:51 PM,5,56,SOLD
# Total profit: 0

Raw mackerel,2026-01-16 06:51 PM,11,18,SOLD
# Total profit: 0

Monkfish,2026-01-16 06:50 PM,12,408,SOLD
# Total profit: 0

Ensouled demon head,2026-01-16 06:50 PM,3,1470,SOLD
# Total profit: 0

Adamant platelegs,2026-01-16 06:50 PM,4,3573,SOLD
# Total profit: 0

Iron arrowtips,2026-01-16 06:49 PM,1,5,SOLD
# Total profit: 0

Black platebody,2026-01-16 06:49 PM,1,3943,SOLD
# Total profit: 0

Vile ashes,2026-01-16 06:49 PM,8,76,SOLD
# Total profit: 0

Mahogany bird house,2026-01-16 06:55 PM,153,685,CANCELLED_BUY
Mahogany bird house,2026-01-16 07:05 PM,153,1280,SOLD
Mahogany bird house,2026-01-16 08:01 PM,42,923,CANCELLED_BUY
# Total profit: 91035

Ancient d'hide boots,2026-01-16 06:45 PM,1,478205,BOUGHT
# Total profit: 0

Tarromin seed,2026-01-16 06:39 PM,2,2,SOLD
# Total profit: 0

Mithril sq shield,2026-01-16 06:39 PM,1,621,SOLD
# Total profit: 0

Dragon scimitar,2026-01-16 06:38 PM,2,58198,SOLD
# Total profit: 0

Steel knife,2026-01-16 06:38 PM,1,65,SOLD
# Total profit: 0

Rune scimitar,2026-01-16 06:38 PM,3,14949,SOLD
# Total profit: 0

Fire battlestaff,2026-01-16 06:38 PM,2,8894,SOLD
# Total profit: 0

Runite limbs,2026-01-16 06:38 PM,1,9180,SOLD
# Total profit: 0

Jangerberry seed,2026-01-16 06:38 PM,1,10,SOLD
# Total profit: 0

Black warhammer,2026-01-16 06:38 PM,1,490,SOLD
# Total profit: 0

Grimy avantoe,2026-01-16 06:38 PM,3,3558,SOLD
# Total profit: 0

Grimy irit leaf,2026-01-16 06:38 PM,3,2726,SOLD
# Total profit: 0

Grimy dwarf weed,2026-01-16 06:38 PM,1,2902,SOLD
# Total profit: 0

Grimy cadantine,2026-01-16 06:37 PM,1,3488,SOLD
# Total profit: 0

Ranarr weed,2026-01-16 06:37 PM,1,5085,SOLD
# Total profit: 0

Grimy harralander,2026-01-16 06:37 PM,1,502,SOLD
# Total profit: 0

Grimy tarromin,2026-01-16 06:37 PM,1,141,SOLD
# Total profit: 0

Zamorak chaps,2026-01-16 06:35 PM,1,368738,BOUGHT
# Total profit: 0

Armadyl d'hide body,2026-01-16 06:34 PM,1,157559,BOUGHT
# Total profit: 0

Steel dart,2026-01-16 06:31 PM,45,5,SOLD
# Total profit: 0

Red d'hide vambraces,2026-01-16 06:31 PM,1,1649,SOLD
# Total profit: 0

Blue d'hide vambraces,2026-01-16 06:30 PM,1,2044,SOLD
# Total profit: 0

Amethyst dart,2026-01-16 06:29 PM,16,259,SOLD
# Total profit: 0

Rune dart,2026-01-16 06:29 PM,61,158,SOLD
# Total profit: 0

Bone bolts,2026-01-16 06:28 PM,90,5,SOLD
# Total profit: 0

Torag's platelegs,2026-01-16 06:29 PM,1,295078,CANCELLED_BUY
Torag's platelegs,2026-01-16 06:33 PM,1,305739,SOLD
# Total profit: 10661

Bronze bolts,2026-01-16 06:28 PM,284,2,SOLD
# Total profit: 0

Iron knife,2026-01-16 06:28 PM,2,14,SOLD
# Total profit: 0

Rune knife,2026-01-16 06:28 PM,54,118,SOLD
# Total profit: 0

Sunlight antler bolts,2026-01-16 06:28 PM,8,115,SOLD
# Total profit: 0

Bandos platelegs,2026-01-16 06:28 PM,1,48633,SOLD
# Total profit: 0

Runite bolts,2026-01-16 06:27 PM,40,220,SOLD
# Total profit: 0

Diamond bolts (e),2026-01-16 06:27 PM,14,316,SOLD
# Total profit: 0

Adamant kiteshield,2026-01-16 06:27 PM,1,3010,SOLD
# Total profit: 0

Adamant sq shield,2026-01-16 06:27 PM,2,2156,SOLD
# Total profit: 0

Rune platebody,2026-01-16 06:26 PM,2,37926,SOLD
Rune platebody,2026-01-31 02:28 PM,70,38650,BOUGHT
Rune platebody,2026-01-31 06:07 PM,17,38963,CANCELLED_SELL
Rune platebody,2026-01-31 06:20 PM,53,37834,SOLD
# Total profit: -37743

Rune full helm,2026-01-16 06:25 PM,5,20409,SOLD
# Total profit: 0

Mystic set (light),2026-01-16 06:25 PM,1,158782,CANCELLED_BUY
Mystic set (light),2026-01-16 06:27 PM,1,170528,SOLD
# Total profit: 11746

Potato with cheese,2026-01-16 05:54 PM,10,216,BOUGHT
# Total profit: 0

Super combat potion(4),2026-01-16 05:53 PM,3,18270,BOUGHT
# Total profit: 0

Dagon'hai robes set,2026-01-16 05:39 PM,1,921756,BOUGHT
Dagon'hai robes set,2026-01-16 05:46 PM,1,948477,SOLD
# Total profit: 26721

Teak repair kit,2026-01-16 06:13 PM,1683,438,BOUGHT
Teak repair kit,2026-01-16 08:05 PM,1683,483,SOLD
# Total profit: 75735

Cadantine seed,2026-01-16 05:43 PM,200,2635,BOUGHT
Cadantine seed,2026-01-16 06:08 PM,200,2902,SOLD
# Total profit: 53400

Lumberyard teleport,2026-01-16 05:15 PM,1,6716,BOUGHT
# Total profit: 0

Gold necklace,2026-01-16 05:27 PM,12799,156,CANCELLED_BUY
Gold necklace,2026-01-16 07:00 PM,12799,165,SOLD
# Total profit: 115191

Steel cannonball,2026-01-16 05:15 PM,11000,213,BOUGHT
Steel cannonball,2026-01-16 05:16 PM,11000,220,SOLD
Steel cannonball,2026-01-31 04:02 PM,7218,211,BOUGHT
Steel cannonball,2026-01-31 04:13 PM,7218,217,SOLD
Steel cannonball,2026-01-31 04:15 PM,3782,213,BOUGHT
Steel cannonball,2026-01-31 04:19 PM,3782,216,SOLD
Steel cannonball,2026-01-31 08:42 PM,11000,214,BOUGHT
Steel cannonball,2026-01-31 08:43 PM,11000,216,SOLD
# Total profit: 153654

Astral rune,2026-01-16 05:30 PM,25000,62,BOUGHT
Astral rune,2026-01-16 06:43 PM,25000,67,SOLD
Astral rune,2026-01-31 11:44 AM,10000,61,BOUGHT
Astral rune,2026-01-31 12:03 PM,10000,66,SOLD
Astral rune,2026-01-31 04:40 PM,10000,62,BOUGHT
Astral rune,2026-01-31 04:46 PM,10000,65,SOLD
# Total profit: 205000

Guthix robe top,2026-01-16 05:02 PM,1,49365,BOUGHT
Guthix robe top,2026-01-16 05:25 PM,1,67903,SOLD
# Total profit: 18538

Burning amulet(5),2026-01-16 05:12 PM,76,6684,CANCELLED_BUY
Burning amulet(5),2026-01-16 05:13 PM,76,6860,SOLD
Burning amulet(5),2026-01-16 05:28 PM,78,6860,SOLD
Burning amulet(5),2026-01-16 05:37 PM,78,6707,CANCELLED_BUY
# Total profit: 25310

Goading potion(1),2026-01-16 04:58 PM,4,8402,BOUGHT
# Total profit: 0

Avantoe seed,2026-01-16 04:57 PM,200,773,BOUGHT
Avantoe seed,2026-01-16 05:01 PM,200,969,SOLD
# Total profit: 39200

Annakarl teleport,2026-01-16 04:45 PM,34,2956,SOLD
# Total profit: 0

Swampbark helm,2026-01-16 04:37 PM,2,55690,BOUGHT
Swampbark helm,2026-01-16 05:05 PM,2,69525,SOLD
# Total profit: 27670

Willow longbow (u),2026-01-16 04:56 PM,5172,75,SOLD
# Total profit: 0

Lobster,2026-01-16 04:35 PM,4986,172,BOUGHT
Lobster,2026-01-16 04:49 PM,4986,177,SOLD
Lobster,2026-01-16 06:49 PM,433,180,SOLD
Lobster,2026-01-17 09:00 AM,5738,180,SOLD
# Total profit: 24930

Lava rune,2026-01-16 04:17 PM,20,21,BOUGHT
# Total profit: 0

Mist rune,2026-01-16 04:17 PM,18,93,CANCELLED_BUY
# Total profit: 0

Pot lid,2026-01-16 04:14 PM,1,350,BOUGHT
# Total profit: 0

Glacial temotli,2026-01-16 04:02 PM,2,59800,CANCELLED_BUY
Glacial temotli,2026-01-16 04:04 PM,2,67156,SOLD
# Total profit: 14712

Bloodbark boots,2026-01-16 04:01 PM,4,43628,BOUGHT
Bloodbark boots,2026-01-16 04:09 PM,4,48556,SOLD
# Total profit: 19712

Iron chainbody,2026-01-16 03:34 PM,1,177,BOUGHT
# Total profit: 0

Bronze med helm,2026-01-16 03:34 PM,1,18,BOUGHT
# Total profit: 0

Mithril arrow,2026-01-16 03:36 PM,7000,17,BOUGHT
